(ETRS89)

Via         PK          Velocitat   X           Y           
C-37        3,2         90          350373,1619 4570128,2215
C-37z       71,485      90          388195,1945 4608871,1446
C-38        1,635       90          445833,3295 4678140,4147
C-53        135,435     90          326633,1186 4624618,9161
C-55        3,89        80          407186,1424 4599439,5859
C-55        15,297      80          404095,3944 4608246,783 
C-55        18,52       80          404842,8884 4611245,522 
C-55        25,5        80          403614,3501 4617001,8202
C-55        27          80          403136,3598 4618374,886 
C-55        39,129      90          399325,0755 4625170,2554
C-55        53,74       90          393280,7319 4636478,5088
C-55        68,193      90          385702,6327 4643411,9371
C-58        5,89        120         429018,1957 4594098,802 
C-58        15,726      120         425978,2796 4595230,7068
C-58        25,38       80          422161,4057 4599453,4423
C-58        26,85       80          413667,6323 4602052,4408
C-58        29,27       80          413336,9217 4603364,8153
C-58        29,8        80          411286,8246 4604156,8321
C-58        30,95       80          410707,3241 4604213,8366
C-58        38,15       90          409615,2051 4604564,3754
C-58        14,97-13,49 120         404922,4974 4608462,2671
C-58cc      1,8 -3,0    90          431016,9542 4590851,6618
C-58cc      3,0 -1,8    90          430117,9586 4591611,6698
C-59        11,05       90          431651,1329 4606363,011 
C-59        15,354      80          430586,5005 4610215,5951
C-59        19,014      90          430495,2255 4613536,7009
C-59        37,365      70          425430,4469 4627928,7316
C-59        4,9-8,754   90          460110597   460488471   
C-59        8,76-4,905  90          460489385   460111091   
C-60        3,364       120         449661,9873 4601946,1775
C-60        3,413       120         449642,4576 4601990,5677
C-63        4,1         80          484678,8653 4620882,301 
C-63        4,8         80          484708,9705 4621563,472 
C-63        10,778      80          481508,1632 4625218,0519
C-63        21,194      90          475249,2941 4631878,1998
C-65        6,662       100         496718,9278 4630624,1549
C-65        22,613      90          487763,5733 4639764,867 
C-65        17,22-12,43 90          491560,251  4630781,2643
C-66        5,57        90          507365,9791 4644431,7155
C-66        38,107      100         484527,0203 4657157,8086
C-66        38,147      100         484538,9406 4657195,5285
C-66        54,117      90          478731,2685 4669966,3924
C-66        15,88-24,69 90          500129,712  4650277,23  
C-66        24,69-15,89 90          494075,533  4654309,28  
GI-512      2,69        90          475965,9243 4618576,1137
GI-552      13,345      90          462083,251  4627570,103 
GI-623      6,249       90          497889,6735 4664082,7179
GI-682      3,55        90          480488,9538 4613636,6717
GI-682      18,468      90          492076,52   4618674,9116
L-200       1,733       90          323847,8172 4609191,2134
L-310       5,403       70          347869,068  4617569,9541
L-310       13,81       90          353346,2938 4623803,8822
N-141a      108,811     90          477245,6861 4646235,9969
N-150       3,318       40          429621,3494 4593144,6159
N-150       15,555      90          420960,7537 4600745,8534
N-2         687,863     90          479265,9324 4621613,1734
N-2         736,539     90          492010,6676 4664496,9732
N-2         761         80          494684,8996 4683994,2631
N-2         709,5-713,8 90          483604,6249 4642138,3423
N-2         713,8-709,5 90          486592,0509 4644957,324 
N-2         716,6-719,5 80          487234,2693 4647248,3227
N-2         719,5-716,6 80          487414,9898 4649912,3254
N-2         751,4-758,9 80          467654430   468222495   
N-2         758,8-751,3 80          468220401   467652113   
N-2         769-771,67  80          491128,912  4691568,36  
N-2         771,67-769  80          490410,423  4693173,37  
N-230       27,505      90          298149,421  4634710,7079
N-230       130,157     90          311797,6536 4703431,3409
N-230       186,7       90          314760,3827 4746198,8947
N-230       150,5-156   80          317874,8907 4726856,4111
N-230       156-150,5   80          316648,4692 4721631,6623
N-240       15,7        80          353265,0658 4568730,0474
N-240       39,638      80          343837,6775 4584065,8827
N-240       53,188      90          331719,3681 4587928,5107
N-240       71,95       90          319417,9559 4600695,6738
N-240       80,475      90          312718,4409 4605366,9119
N-240       118,16      90          284618,0636 4625958,907 
N-260       26,32       90          506187,8932 4686070,469 
N-260       50          90          485661,693  4674417,5067
N-260       121,497     80          430349,2641 4684551,9621
N-260       199,075     90          396895,6486 4691976,4875
N-260       209,105     90          388672,1809 4691320,2688
N-260       233,302     90          368542,9415 4687612,9058
N-340       1068,355    90          293575,4801 4497139,5093
N-340       1084,318    90          296786,2948 4511600,0174
N-340       1091,842    90          302522,9504 4516441,6114
N-340       1104,766    90          307529,7464 4526754,8094
N-340       1125,327    80          321723,1921 4537789,3188
N-340       1137,838    90          330992,4066 4545709,5307
N-340       1176,25     90          365124,3198 4557612,8102
N-340       1200,703    90          383689,8953 4570358,2391
N-340       1208,271    90          388278,8696 4576568,4339
N-340       1226,862    70          404444,5445 4583141,1314
N-340       1242,245    60          416201,4502 4584119,6137
N-340       1074-1079   90          296368,2751 4502502,5464
N-340       1079-1074   90          295760,707  4506827,5578
N-420       825,428     90          303211,7925 4552161,2115
N-420       856,97      90          327829,2592 4559879,9667
N-420       862,945     80          331187,7979 4559016,8699
N-420a      879,314     70          344542,4021 4555531,4931
N-II        453,514     90          294125,297  4608643,108 
N-II        636,415     80          445311,1012 4592808,8463
N-II        642,608     80          450701,3523 4595809,0901
N-II        648,355     90          455221,6057 4599284,7912
N-II        657,9       90          463554,9793 4603322,1142
N-II        665,159     60          469539,2285 4605955,1129
T-11        2,337       100         338607,0995 4557711,3315
T-11        5,87        100         340787,5854 4555404,3314
T-310       2,8         90          338692,1202 4556477,759 
T-310       9,296       90          333158,636  4554406,3878
TP-2031     4,766       70          354945,9042 4557627,6774
TP-2125     4,795       90          378734,5682 4569110,5648
TV-3141     5,224       80          340194,8559 4554277,8842
